# Coset-2 exclusion certificates for [4,16] on M_1(8,4)
# (Claude prod session 2026-07-18, target #3; notes/claude_prod_03_416.md)
#
# Background: any exponent-16 point on the (R,w) chart requires (2-descent,
# machine-checked identities; see notes) EITHER
#   coset 1:  -2R(R^2-1)(w^2-1) in Q^2   (the "conic" stratum, rationally
#             parameterized w=(m^2+K)/(m^2-K), K=-2R(R^2-1)), OR
#   coset 2:  2R(R^2-1)(w^2-1)w in +-Q^2, i.e. (w,Y) rational non-boundary on
#             E2_R: Y^2 = c w(w^2-1), c = 2ab(a^2-b^2), R=a/b
#             (Weierstrass X^3 - c^2 X; +- folded by w -> -w).
#   (Coset structure verified: 4*P_R = s_A on the family (Magma, 3 fibers),
#    so the quarter-twist coset is the H_x-half, as used.)
# For each fiber below, ellrank on E2_R gives UNCONDITIONAL rank upper bound 0
# (r2 = Selmer-torsion-Cassels) and torsion (Z/2)^2 whose w-images {0,+-1} are
# all boundary: the coset-2 stratum is EMPTY on the fiber.  Any [4,16] over
# these R (and mirrors 1/R) must satisfy the coset-1 conic; the complete
# conic-stratum octic sweep (m-height 2000, effective w-height ~1e6*|K|)
# found no live candidate on any fiber of height <= 100.
# format: a b  c=core-parameter rk=[lower,upper] tor=#torsion
-1 2  c=3 rk=[0,0] tor=4
1 2  c=-3 rk=[0,0] tor=4
-1 3  c=3 rk=[0,0] tor=4
1 3  c=-3 rk=[0,0] tor=4
-3 4  c=42 rk=[0,0] tor=4
3 4  c=-42 rk=[0,0] tor=4
-4 5  c=10 rk=[0,0] tor=4
-2 5  c=105 rk=[0,0] tor=4
2 5  c=-105 rk=[0,0] tor=4
4 5  c=-10 rk=[0,0] tor=4
-1 6  c=105 rk=[0,0] tor=4
1 6  c=-105 rk=[0,0] tor=4
-6 7  c=273 rk=[0,0] tor=4
-5 7  c=105 rk=[0,0] tor=4
-3 7  c=105 rk=[0,0] tor=4
-2 7  c=35 rk=[0,0] tor=4
-1 7  c=42 rk=[0,0] tor=4
1 7  c=-42 rk=[0,0] tor=4
2 7  c=-35 rk=[0,0] tor=4
3 7  c=-105 rk=[0,0] tor=4
5 7  c=-105 rk=[0,0] tor=4
6 7  c=-273 rk=[0,0] tor=4
-7 8  c=105 rk=[0,0] tor=4
-5 8  c=195 rk=[0,0] tor=4
5 8  c=-195 rk=[0,0] tor=4
7 8  c=-105 rk=[0,0] tor=4
-8 9  c=17 rk=[0,0] tor=4
-5 9  c=35 rk=[0,0] tor=4
-4 9  c=130 rk=[0,0] tor=4
-1 9  c=10 rk=[0,0] tor=4
1 9  c=-10 rk=[0,0] tor=4
4 9  c=-130 rk=[0,0] tor=4
5 9  c=-35 rk=[0,0] tor=4
8 9  c=-17 rk=[0,0] tor=4
-8 11  c=627 rk=[0,0] tor=4
8 11  c=-627 rk=[0,0] tor=4
-1 12  c=858 rk=[0,0] tor=4
1 12  c=-858 rk=[0,0] tor=4
-11 13  c=858 rk=[0,0] tor=4
-6 13  c=5187 rk=[0,0] tor=4
-5 13  c=130 rk=[0,0] tor=4
-3 13  c=195 rk=[0,0] tor=4
-1 13  c=273 rk=[0,0] tor=4
1 13  c=-273 rk=[0,0] tor=4
3 13  c=-195 rk=[0,0] tor=4
5 13  c=-130 rk=[0,0] tor=4
6 13  c=-5187 rk=[0,0] tor=4
11 13  c=-858 rk=[0,0] tor=4
-13 14  c=273 rk=[0,0] tor=4
-5 14  c=665 rk=[0,0] tor=4
5 14  c=-665 rk=[0,0] tor=4
13 14  c=-273 rk=[0,0] tor=4
-2 15  c=3315 rk=[0,0] tor=4
-1 15  c=105 rk=[0,0] tor=4
1 15  c=-105 rk=[0,0] tor=4
2 15  c=-3315 rk=[0,0] tor=4
-15 16  c=930 rk=[0,0] tor=4
-7 16  c=322 rk=[0,0] tor=4
7 16  c=-322 rk=[0,0] tor=4
15 16  c=-930 rk=[0,0] tor=4
-14 17  c=11067 rk=[0,0] tor=4
-13 17  c=3315 rk=[0,0] tor=4
-8 17  c=17 rk=[0,0] tor=4
-4 17  c=9282 rk=[0,0] tor=4
-1 17  c=17 rk=[0,0] tor=4
1 17  c=-17 rk=[0,0] tor=4
4 17  c=-9282 rk=[0,0] tor=4
8 17  c=-17 rk=[0,0] tor=4
13 17  c=-3315 rk=[0,0] tor=4
14 17  c=-11067 rk=[0,0] tor=4
-17 18  c=595 rk=[0,0] tor=4
-11 18  c=2233 rk=[0,0] tor=4
11 18  c=-2233 rk=[0,0] tor=4
17 18  c=-595 rk=[0,0] tor=4
-12 19  c=24738 rk=[0,0] tor=4
-10 19  c=2755 rk=[0,0] tor=4
-9 19  c=665 rk=[0,0] tor=4
-8 19  c=627 rk=[0,0] tor=4
-7 19  c=5187 rk=[0,0] tor=4
-3 19  c=627 rk=[0,0] tor=4
3 19  c=-627 rk=[0,0] tor=4
7 19  c=-5187 rk=[0,0] tor=4
8 19  c=-627 rk=[0,0] tor=4
9 19  c=-665 rk=[0,0] tor=4
10 19  c=-2755 rk=[0,0] tor=4
12 19  c=-24738 rk=[0,0] tor=4
-11 20  c=3410 rk=[0,0] tor=4
-3 20  c=11730 rk=[0,0] tor=4
3 20  c=-11730 rk=[0,0] tor=4
11 20  c=-3410 rk=[0,0] tor=4
-20 21  c=8610 rk=[0,0] tor=4
-16 21  c=7770 rk=[0,0] tor=4
-13 21  c=9282 rk=[0,0] tor=4
-4 21  c=714 rk=[0,0] tor=4
-2 21  c=9177 rk=[0,0] tor=4
2 21  c=-9177 rk=[0,0] tor=4
4 21  c=-714 rk=[0,0] tor=4
13 21  c=-9282 rk=[0,0] tor=4
16 21  c=-7770 rk=[0,0] tor=4
20 21  c=-8610 rk=[0,0] tor=4
-17 22  c=36465 rk=[0,0] tor=4
-9 22  c=4433 rk=[0,0] tor=4
-3 22  c=627 rk=[0,0] tor=4
-1 22  c=5313 rk=[0,0] tor=4
1 22  c=-5313 rk=[0,0] tor=4
3 22  c=-627 rk=[0,0] tor=4
9 22  c=-4433 rk=[0,0] tor=4
17 22  c=-36465 rk=[0,0] tor=4
-22 23  c=1265 rk=[0,0] tor=4
-21 23  c=5313 rk=[0,0] tor=4
-19 23  c=9177 rk=[0,0] tor=4
-18 23  c=4715 rk=[0,0] tor=4
-17 23  c=11730 rk=[0,0] tor=4
-12 23  c=53130 rk=[0,0] tor=4
-9 23  c=322 rk=[0,0] tor=4
-6 23  c=34017 rk=[0,0] tor=4
-2 23  c=483 rk=[0,0] tor=4
2 23  c=-483 rk=[0,0] tor=4
6 23  c=-34017 rk=[0,0] tor=4
9 23  c=-322 rk=[0,0] tor=4
12 23  c=-53130 rk=[0,0] tor=4
17 23  c=-11730 rk=[0,0] tor=4
18 23  c=-4715 rk=[0,0] tor=4
19 23  c=-9177 rk=[0,0] tor=4
21 23  c=-5313 rk=[0,0] tor=4
22 23  c=-1265 rk=[0,0] tor=4
-23 24  c=3243 rk=[0,0] tor=4
-13 24  c=15873 rk=[0,0] tor=4
-7 24  c=11067 rk=[0,0] tor=4
-5 24  c=8265 rk=[0,0] tor=4
5 24  c=-8265 rk=[0,0] tor=4
7 24  c=-11067 rk=[0,0] tor=4
13 24  c=-15873 rk=[0,0] tor=4
23 24  c=-3243 rk=[0,0] tor=4
-24 25  c=3 rk=[0,0] tor=4
-21 25  c=483 rk=[0,0] tor=4
-19 25  c=627 rk=[0,0] tor=4
-17 25  c=714 rk=[0,0] tor=4
-16 25  c=82 rk=[0,0] tor=4
-9 25  c=17 rk=[0,0] tor=4
-4 25  c=1218 rk=[0,0] tor=4
4 25  c=-1218 rk=[0,0] tor=4
9 25  c=-17 rk=[0,0] tor=4
16 25  c=-82 rk=[0,0] tor=4
17 25  c=-714 rk=[0,0] tor=4
19 25  c=-627 rk=[0,0] tor=4
21 25  c=-483 rk=[0,0] tor=4
24 25  c=-3 rk=[0,0] tor=4
-23 26  c=897 rk=[0,0] tor=4
-21 26  c=64155 rk=[0,0] tor=4
-15 26  c=87945 rk=[0,0] tor=4
-7 26  c=57057 rk=[0,0] tor=4
7 26  c=-57057 rk=[0,0] tor=4
15 26  c=-87945 rk=[0,0] tor=4
21 26  c=-64155 rk=[0,0] tor=4
23 26  c=-897 rk=[0,0] tor=4
-26 27  c=2067 rk=[0,0] tor=4
-11 27  c=627 rk=[0,0] tor=4
-1 27  c=273 rk=[0,0] tor=4
1 27  c=-273 rk=[0,0] tor=4
11 27  c=-627 rk=[0,0] tor=4
26 27  c=-2067 rk=[0,0] tor=4
-25 28  c=2226 rk=[0,0] tor=4
-17 28  c=13090 rk=[0,0] tor=4
-13 28  c=111930 rk=[0,0] tor=4
-9 28  c=9842 rk=[0,0] tor=4
-5 28  c=53130 rk=[0,0] tor=4
-1 28  c=1218 rk=[0,0] tor=4
1 28  c=-1218 rk=[0,0] tor=4
5 28  c=-53130 rk=[0,0] tor=4
9 28  c=-9842 rk=[0,0] tor=4
13 28  c=-111930 rk=[0,0] tor=4
17 28  c=-13090 rk=[0,0] tor=4
25 28  c=-2226 rk=[0,0] tor=4
-27 29  c=1218 rk=[0,0] tor=4
-22 29  c=113883 rk=[0,0] tor=4
-21 29  c=1218 rk=[0,0] tor=4
-20 29  c=290 rk=[0,0] tor=4
-19 29  c=8265 rk=[0,0] tor=4
-18 29  c=14993 rk=[0,0] tor=4
-17 29  c=34017 rk=[0,0] tor=4
-16 29  c=3770 rk=[0,0] tor=4
-9 29  c=2755 rk=[0,0] tor=4
-7 29  c=2233 rk=[0,0] tor=4
-6 29  c=70035 rk=[0,0] tor=4
-4 29  c=1914 rk=[0,0] tor=4
-2 29  c=2697 rk=[0,0] tor=4
2 29  c=-2697 rk=[0,0] tor=4
4 29  c=-1914 rk=[0,0] tor=4
6 29  c=-70035 rk=[0,0] tor=4
7 29  c=-2233 rk=[0,0] tor=4
9 29  c=-2755 rk=[0,0] tor=4
16 29  c=-3770 rk=[0,0] tor=4
17 29  c=-34017 rk=[0,0] tor=4
18 29  c=-14993 rk=[0,0] tor=4
19 29  c=-8265 rk=[0,0] tor=4
20 29  c=-290 rk=[0,0] tor=4
21 29  c=-1218 rk=[0,0] tor=4
22 29  c=-113883 rk=[0,0] tor=4
27 29  c=-1218 rk=[0,0] tor=4
-29 30  c=25665 rk=[0,0] tor=4
-23 30  c=127995 rk=[0,0] tor=4
-13 30  c=142545 rk=[0,0] tor=4
-7 30  c=89355 rk=[0,0] tor=4
7 30  c=-89355 rk=[0,0] tor=4
13 30  c=-142545 rk=[0,0] tor=4
23 30  c=-127995 rk=[0,0] tor=4
29 30  c=-25665 rk=[0,0] tor=4
-28 31  c=76818 rk=[0,0] tor=4
-27 31  c=2697 rk=[0,0] tor=4
-22 31  c=18073 rk=[0,0] tor=4
-18 31  c=403 rk=[0,0] tor=4
-17 31  c=11067 rk=[0,0] tor=4
-13 31  c=4433 rk=[0,0] tor=4
-12 31  c=151962 rk=[0,0] tor=4
-9 31  c=3410 rk=[0,0] tor=4
-7 31  c=24738 rk=[0,0] tor=4
-6 31  c=3441 rk=[0,0] tor=4
-3 31  c=11067 rk=[0,0] tor=4
-2 31  c=29667 rk=[0,0] tor=4
-1 31  c=930 rk=[0,0] tor=4
1 31  c=-930 rk=[0,0] tor=4
2 31  c=-29667 rk=[0,0] tor=4
3 31  c=-11067 rk=[0,0] tor=4
6 31  c=-3441 rk=[0,0] tor=4
7 31  c=-24738 rk=[0,0] tor=4
9 31  c=-3410 rk=[0,0] tor=4
12 31  c=-151962 rk=[0,0] tor=4
13 31  c=-4433 rk=[0,0] tor=4
17 31  c=-11067 rk=[0,0] tor=4
18 31  c=-403 rk=[0,0] tor=4
22 31  c=-18073 rk=[0,0] tor=4
27 31  c=-2697 rk=[0,0] tor=4
28 31  c=-76818 rk=[0,0] tor=4
-31 32  c=217 rk=[0,0] tor=4
-29 32  c=5307 rk=[0,0] tor=4
-23 32  c=1265 rk=[0,0] tor=4
-21 32  c=12243 rk=[0,0] tor=4
-15 32  c=11985 rk=[0,0] tor=4
-13 32  c=1235 rk=[0,0] tor=4
-7 32  c=273 rk=[0,0] tor=4
-5 32  c=555 rk=[0,0] tor=4
5 32  c=-555 rk=[0,0] tor=4
7 32  c=-273 rk=[0,0] tor=4
13 32  c=-1235 rk=[0,0] tor=4
15 32  c=-11985 rk=[0,0] tor=4
21 32  c=-12243 rk=[0,0] tor=4
23 32  c=-1265 rk=[0,0] tor=4
29 32  c=-5307 rk=[0,0] tor=4
31 32  c=-217 rk=[0,0] tor=4
-29 33  c=29667 rk=[0,0] tor=4
-25 33  c=1914 rk=[0,0] tor=4
-23 33  c=53130 rk=[0,0] tor=4
-19 33  c=57057 rk=[0,0] tor=4
-14 33  c=206283 rk=[0,0] tor=4
-10 33  c=163185 rk=[0,0] tor=4
-8 33  c=1353 rk=[0,0] tor=4
-4 33  c=70818 rk=[0,0] tor=4
4 33  c=-70818 rk=[0,0] tor=4
8 33  c=-1353 rk=[0,0] tor=4
10 33  c=-163185 rk=[0,0] tor=4
14 33  c=-206283 rk=[0,0] tor=4
19 33  c=-57057 rk=[0,0] tor=4
23 33  c=-53130 rk=[0,0] tor=4
25 33  c=-1914 rk=[0,0] tor=4
29 33  c=-29667 rk=[0,0] tor=4
-19 34  c=256785 rk=[0,0] tor=4
-11 34  c=21505 rk=[0,0] tor=4
-3 34  c=58497 rk=[0,0] tor=4
-1 34  c=19635 rk=[0,0] tor=4
1 34  c=-19635 rk=[0,0] tor=4
3 34  c=-58497 rk=[0,0] tor=4
11 34  c=-21505 rk=[0,0] tor=4
19 34  c=-256785 rk=[0,0] tor=4
-33 35  c=19635 rk=[0,0] tor=4
-32 35  c=7035 rk=[0,0] tor=4
-26 35  c=27755 rk=[0,0] tor=4
-24 35  c=68145 rk=[0,0] tor=4
-23 35  c=70035 rk=[0,0] tor=4
-12 35  c=227010 rk=[0,0] tor=4
-11 35  c=53130 rk=[0,0] tor=4
-8 35  c=4515 rk=[0,0] tor=4
-1 35  c=595 rk=[0,0] tor=4
1 35  c=-595 rk=[0,0] tor=4
8 35  c=-4515 rk=[0,0] tor=4
11 35  c=-53130 rk=[0,0] tor=4
12 35  c=-227010 rk=[0,0] tor=4
23 35  c=-70035 rk=[0,0] tor=4
24 35  c=-68145 rk=[0,0] tor=4
26 35  c=-27755 rk=[0,0] tor=4
32 35  c=-7035 rk=[0,0] tor=4
33 35  c=-19635 rk=[0,0] tor=4
-35 36  c=4970 rk=[0,0] tor=4
-31 36  c=20770 rk=[0,0] tor=4
-19 36  c=35530 rk=[0,0] tor=4
-11 36  c=1034 rk=[0,0] tor=4
11 36  c=-1034 rk=[0,0] tor=4
19 36  c=-35530 rk=[0,0] tor=4
31 36  c=-20770 rk=[0,0] tor=4
35 36  c=-4970 rk=[0,0] tor=4
-36 37  c=5402 rk=[0,0] tor=4
-34 37  c=133977 rk=[0,0] tor=4
-31 37  c=58497 rk=[0,0] tor=4
-29 37  c=70818 rk=[0,0] tor=4
-27 37  c=555 rk=[0,0] tor=4
-25 37  c=3441 rk=[0,0] tor=4
-23 37  c=89355 rk=[0,0] tor=4
-20 37  c=358530 rk=[0,0] tor=4
-19 37  c=9842 rk=[0,0] tor=4
-18 37  c=38665 rk=[0,0] tor=4
-16 37  c=82362 rk=[0,0] tor=4
-11 37  c=15873 rk=[0,0] tor=4
-6 37  c=147963 rk=[0,0] tor=4
-5 37  c=7770 rk=[0,0] tor=4
-4 37  c=100122 rk=[0,0] tor=4
-2 37  c=50505 rk=[0,0] tor=4
2 37  c=-50505 rk=[0,0] tor=4
4 37  c=-100122 rk=[0,0] tor=4
5 37  c=-7770 rk=[0,0] tor=4
6 37  c=-147963 rk=[0,0] tor=4
11 37  c=-15873 rk=[0,0] tor=4
16 37  c=-82362 rk=[0,0] tor=4
18 37  c=-38665 rk=[0,0] tor=4
19 37  c=-9842 rk=[0,0] tor=4
20 37  c=-358530 rk=[0,0] tor=4
23 37  c=-89355 rk=[0,0] tor=4
25 37  c=-3441 rk=[0,0] tor=4
27 37  c=-555 rk=[0,0] tor=4
29 37  c=-70818 rk=[0,0] tor=4
31 37  c=-58497 rk=[0,0] tor=4
34 37  c=-133977 rk=[0,0] tor=4
36 37  c=-5402 rk=[0,0] tor=4
-27 38  c=40755 rk=[0,0] tor=4
-25 38  c=1729 rk=[0,0] tor=4
-11 38  c=627 rk=[0,0] tor=4
-9 38  c=25897 rk=[0,0] tor=4
-3 38  c=81795 rk=[0,0] tor=4
-1 38  c=27417 rk=[0,0] tor=4
1 38  c=-27417 rk=[0,0] tor=4
3 38  c=-81795 rk=[0,0] tor=4
9 38  c=-25897 rk=[0,0] tor=4
11 38  c=-627 rk=[0,0] tor=4
25 38  c=-1729 rk=[0,0] tor=4
27 38  c=-40755 rk=[0,0] tor=4
-38 39  c=57057 rk=[0,0] tor=4
-37 39  c=27417 rk=[0,0] tor=4
-35 39  c=50505 rk=[0,0] tor=4
-34 39  c=241995 rk=[0,0] tor=4
-28 39  c=402402 rk=[0,0] tor=4
-25 39  c=273 rk=[0,0] tor=4
-5 39  c=36465 rk=[0,0] tor=4
-2 39  c=59163 rk=[0,0] tor=4
2 39  c=-59163 rk=[0,0] tor=4
5 39  c=-36465 rk=[0,0] tor=4
25 39  c=-273 rk=[0,0] tor=4
28 39  c=-402402 rk=[0,0] tor=4
34 39  c=-241995 rk=[0,0] tor=4
35 39  c=-50505 rk=[0,0] tor=4
37 39  c=-27417 rk=[0,0] tor=4
38 39  c=-57057 rk=[0,0] tor=4
-11 40  c=81345 rk=[0,0] tor=4
-9 40  c=155 rk=[0,0] tor=4
-3 40  c=23865 rk=[0,0] tor=4
3 40  c=-23865 rk=[0,0] tor=4
9 40  c=-155 rk=[0,0] tor=4
11 40  c=-81345 rk=[0,0] tor=4
-37 41  c=59163 rk=[0,0] tor=4
-36 41  c=31570 rk=[0,0] tor=4
-35 41  c=81795 rk=[0,0] tor=4
-33 41  c=100122 rk=[0,0] tor=4
-32 41  c=2993 rk=[0,0] tor=4
-30 41  c=480315 rk=[0,0] tor=4
-26 41  c=535665 rk=[0,0] tor=4
-25 41  c=1353 rk=[0,0] tor=4
-20 41  c=525210 rk=[0,0] tor=4
-15 41  c=111930 rk=[0,0] tor=4
-11 41  c=87945 rk=[0,0] tor=4
-9 41  c=82 rk=[0,0] tor=4
-8 41  c=1353 rk=[0,0] tor=4
-5 41  c=4715 rk=[0,0] tor=4
-1 41  c=8610 rk=[0,0] tor=4
1 41  c=-8610 rk=[0,0] tor=4
5 41  c=-4715 rk=[0,0] tor=4
8 41  c=-1353 rk=[0,0] tor=4
9 41  c=-82 rk=[0,0] tor=4
11 41  c=-87945 rk=[0,0] tor=4
15 41  c=-111930 rk=[0,0] tor=4
20 41  c=-525210 rk=[0,0] tor=4
25 41  c=-1353 rk=[0,0] tor=4
26 41  c=-535665 rk=[0,0] tor=4
30 41  c=-480315 rk=[0,0] tor=4
32 41  c=-2993 rk=[0,0] tor=4
33 41  c=-100122 rk=[0,0] tor=4
35 41  c=-81795 rk=[0,0] tor=4
36 41  c=-31570 rk=[0,0] tor=4
37 41  c=-59163 rk=[0,0] tor=4
-37 42  c=306915 rk=[0,0] tor=4
-31 42  c=522753 rk=[0,0] tor=4
-29 42  c=562107 rk=[0,0] tor=4
-5 42  c=182595 rk=[0,0] tor=4
5 42  c=-182595 rk=[0,0] tor=4
29 42  c=-562107 rk=[0,0] tor=4
31 42  c=-522753 rk=[0,0] tor=4
37 42  c=-306915 rk=[0,0] tor=4
-37 43  c=23865 rk=[0,0] tor=4
-31 43  c=147963 rk=[0,0] tor=4
-28 43  c=641130 rk=[0,0] tor=4
-27 43  c=4515 rk=[0,0] tor=4
-24 43  c=164217 rk=[0,0] tor=4
-23 43  c=163185 rk=[0,0] tor=4
-19 43  c=151962 rk=[0,0] tor=4
-17 43  c=142545 rk=[0,0] tor=4
-14 43  c=497553 rk=[0,0] tor=4
-12 43  c=439890 rk=[0,0] tor=4
12 43  c=-439890 rk=[0,0] tor=4
14 43  c=-497553 rk=[0,0] tor=4
17 43  c=-142545 rk=[0,0] tor=4
19 43  c=-151962 rk=[0,0] tor=4
23 43  c=-163185 rk=[0,0] tor=4
24 43  c=-164217 rk=[0,0] tor=4
27 43  c=-4515 rk=[0,0] tor=4
28 43  c=-641130 rk=[0,0] tor=4
31 43  c=-147963 rk=[0,0] tor=4
37 43  c=-23865 rk=[0,0] tor=4
-41 44  c=230010 rk=[0,0] tor=4
-37 44  c=5698 rk=[0,0] tor=4
-29 44  c=698610 rk=[0,0] tor=4
-25 44  c=28842 rk=[0,0] tor=4
-21 44  c=690690 rk=[0,0] tor=4
-17 44  c=68442 rk=[0,0] tor=4
-13 44  c=505362 rk=[0,0] tor=4
-9 44  c=40810 rk=[0,0] tor=4
-1 44  c=4730 rk=[0,0] tor=4
1 44  c=-4730 rk=[0,0] tor=4
9 44  c=-40810 rk=[0,0] tor=4
13 44  c=-505362 rk=[0,0] tor=4
17 44  c=-68442 rk=[0,0] tor=4
21 44  c=-690690 rk=[0,0] tor=4
25 44  c=-28842 rk=[0,0] tor=4
29 44  c=-698610 rk=[0,0] tor=4
37 44  c=-5698 rk=[0,0] tor=4
41 44  c=-230010 rk=[0,0] tor=4
-43 45  c=4730 rk=[0,0] tor=4
-38 45  c=55195 rk=[0,0] tor=4
-34 45  c=73865 rk=[0,0] tor=4
-23 45  c=21505 rk=[0,0] tor=4
-22 45  c=84755 rk=[0,0] tor=4
-19 45  c=1235 rk=[0,0] tor=4
-16 45  c=17690 rk=[0,0] tor=4
-13 45  c=3770 rk=[0,0] tor=4
-11 45  c=13090 rk=[0,0] tor=4
-2 45  c=10105 rk=[0,0] tor=4
-1 45  c=1265 rk=[0,0] tor=4
1 45  c=-1265 rk=[0,0] tor=4
2 45  c=-10105 rk=[0,0] tor=4
11 45  c=-13090 rk=[0,0] tor=4
13 45  c=-3770 rk=[0,0] tor=4
16 45  c=-17690 rk=[0,0] tor=4
19 45  c=-1235 rk=[0,0] tor=4
22 45  c=-84755 rk=[0,0] tor=4
23 45  c=-21505 rk=[0,0] tor=4
34 45  c=-73865 rk=[0,0] tor=4
38 45  c=-55195 rk=[0,0] tor=4
43 45  c=-4730 rk=[0,0] tor=4
-45 46  c=10465 rk=[0,0] tor=4
-37 46  c=70633 rk=[0,0] tor=4
-29 46  c=34017 rk=[0,0] tor=4
-21 46  c=32361 rk=[0,0] tor=4
-15 46  c=652395 rk=[0,0] tor=4
-13 46  c=582153 rk=[0,0] tor=4
-7 46  c=332787 rk=[0,0] tor=4
-5 46  c=240465 rk=[0,0] tor=4
5 46  c=-240465 rk=[0,0] tor=4
7 46  c=-332787 rk=[0,0] tor=4
13 46  c=-582153 rk=[0,0] tor=4
15 46  c=-652395 rk=[0,0] tor=4
21 46  c=-32361 rk=[0,0] tor=4
29 46  c=-34017 rk=[0,0] tor=4
37 46  c=-70633 rk=[0,0] tor=4
45 46  c=-10465 rk=[0,0] tor=4
-44 47  c=282282 rk=[0,0] tor=4
-43 47  c=10105 rk=[0,0] tor=4
-40 47  c=143115 rk=[0,0] tor=4
-38 47  c=75905 rk=[0,0] tor=4
-37 47  c=182595 rk=[0,0] tor=4
-34 47  c=10387 rk=[0,0] tor=4
-29 47  c=25897 rk=[0,0] tor=4
-28 47  c=37506 rk=[0,0] tor=4
-25 47  c=1034 rk=[0,0] tor=4
-23 47  c=227010 rk=[0,0] tor=4
-22 47  c=35673 rk=[0,0] tor=4
-19 47  c=206283 rk=[0,0] tor=4
-18 47  c=88595 rk=[0,0] tor=4
-17 47  c=11985 rk=[0,0] tor=4
-12 47  c=582330 rk=[0,0] tor=4
-11 47  c=14993 rk=[0,0] tor=4
-6 47  c=306393 rk=[0,0] tor=4
-5 47  c=64155 rk=[0,0] tor=4
-2 47  c=235 rk=[0,0] tor=4
-1 47  c=3243 rk=[0,0] tor=4
1 47  c=-3243 rk=[0,0] tor=4
2 47  c=-235 rk=[0,0] tor=4
5 47  c=-64155 rk=[0,0] tor=4
6 47  c=-306393 rk=[0,0] tor=4
11 47  c=-14993 rk=[0,0] tor=4
12 47  c=-582330 rk=[0,0] tor=4
17 47  c=-11985 rk=[0,0] tor=4
18 47  c=-88595 rk=[0,0] tor=4
19 47  c=-206283 rk=[0,0] tor=4
22 47  c=-35673 rk=[0,0] tor=4
23 47  c=-227010 rk=[0,0] tor=4
25 47  c=-1034 rk=[0,0] tor=4
28 47  c=-37506 rk=[0,0] tor=4
29 47  c=-25897 rk=[0,0] tor=4
34 47  c=-10387 rk=[0,0] tor=4
37 47  c=-182595 rk=[0,0] tor=4
38 47  c=-75905 rk=[0,0] tor=4
40 47  c=-143115 rk=[0,0] tor=4
43 47  c=-10105 rk=[0,0] tor=4
44 47  c=-282282 rk=[0,0] tor=4
-29 48  c=254562 rk=[0,0] tor=4
-5 48  c=68370 rk=[0,0] tor=4
-1 48  c=282 rk=[0,0] tor=4
1 48  c=-282 rk=[0,0] tor=4
5 48  c=-68370 rk=[0,0] tor=4
29 48  c=-254562 rk=[0,0] tor=4
-47 49  c=282 rk=[0,0] tor=4
-45 49  c=235 rk=[0,0] tor=4
-36 49  c=2210 rk=[0,0] tor=4
-33 49  c=1353 rk=[0,0] tor=4
-32 49  c=17 rk=[0,0] tor=4
-31 49  c=155 rk=[0,0] tor=4
-30 49  c=22515 rk=[0,0] tor=4
-27 49  c=627 rk=[0,0] tor=4
-26 49  c=897 rk=[0,0] tor=4
-20 49  c=20010 rk=[0,0] tor=4
-13 49  c=403 rk=[0,0] tor=4
-10 49  c=11505 rk=[0,0] tor=4
-9 49  c=290 rk=[0,0] tor=4
-4 49  c=530 rk=[0,0] tor=4
-3 49  c=897 rk=[0,0] tor=4
-1 49  c=3 rk=[0,0] tor=4
1 49  c=-3 rk=[0,0] tor=4
3 49  c=-897 rk=[0,0] tor=4
4 49  c=-530 rk=[0,0] tor=4
9 49  c=-290 rk=[0,0] tor=4
10 49  c=-11505 rk=[0,0] tor=4
13 49  c=-403 rk=[0,0] tor=4
20 49  c=-20010 rk=[0,0] tor=4
26 49  c=-897 rk=[0,0] tor=4
27 49  c=-627 rk=[0,0] tor=4
30 49  c=-22515 rk=[0,0] tor=4
31 49  c=-155 rk=[0,0] tor=4
